date,day_label,order,exercise_id,sets,reps,rest_sec,promotion_criteria,note
2026-04-26,Day B+ — Pull+Legs,1,dead_hang,4,25초,60,,3주차 피크 주간! 최고 볼륨. 집중력 최대. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 25초! 전완근 불타는 느낌. 견갑골 하방 유지.
2026-04-26,Day B+ — Pull+Legs,2,squat_band,4,24,60,,24회. 무릎-발끝 정렬 확인. 진급 기준 도전!
2026-04-26,Day B+ — Pull+Legs,3,glute_bridge_band,4,16,45,,16회. 골반 들어올림 최대. 둔근 수축 극대화.
2026-04-26,Day B+ — Pull+Legs,4,kb_swing_12,4,16,60,,16회. 폼 일관성 확인. 정점에서 둔근 squeeze.
2026-04-26,Day B+ — Pull+Legs,5,scap_pull,3,10,60,,10회. 등 근육 수축 2초 유지. 풀업 준비.
2026-04-26,Day B+ — Pull+Legs,6,calf_raise,3,24,30,,24회. 고반복으로 종아리 자극. 끝까지.
2026-04-27,REST,,,,,,,블록1 디로드 주간 휴식. 몸이 회복되는 것을 느끼세요. 스트레칭 + 산책 권장.
2026-04-28,Day A — Push+Core,1,pushup_incline,2,8,60,,블록1 디로드 주간 — 2세트로 줄여 회복. 정확한 폼에 집중. | 8회 x 2세트. 쉽지만 폼에 극도로 집중.
2026-04-28,Day A — Push+Core,2,dip_assisted,2,5,60,,5회 x 2세트. 관절 회복 우선.
2026-04-28,Day A — Push+Core,3,plank_standard,2,20초,30,,20초 x 2세트. 회복과 재충전.
2026-04-28,Day A — Push+Core,4,kb_swing_12,2,12,60,,12회 x 2세트. 힙힌지 기본기 리셋.
2026-04-29,Day B — Pull+Legs,1,dead_hang,2,15초,60,,블록1 디로드 주간 — 2세트로 줄여 회복. 정확한 폼에 집중. | 15초 x 2세트. 악력 회복. 가볍게.
2026-04-29,Day B — Pull+Legs,2,squat_band,2,20,60,,20회 x 2세트. 관절 부담 최소화.
2026-04-29,Day B — Pull+Legs,3,glute_bridge_band,2,12,45,,"12회 x 2세트. 가볍게, 둔근 활성화."
2026-04-29,Day B — Pull+Legs,4,kb_swing_12,2,12,60,,12회 x 2세트. 힙힌지 기본기 리셋.
2026-04-30,REST,,,,,,,블록1 디로드 주간 휴식. 몸이 회복되는 것을 느끼세요. 스트레칭 + 산책 권장.
2026-05-01,REST,,,,,,,블록1 디로드 주간 휴식. 몸이 회복되는 것을 느끼세요. 스트레칭 + 산책 권장.
2026-05-02,Day A+ — Push+Core,1,pushup_incline,2,8,60,,블록1 디로드 주간 — 2세트로 줄여 회복. 정확한 폼에 집중. | 8회 x 2세트. 쉽지만 폼에 극도로 집중.
2026-05-02,Day A+ — Push+Core,2,dip_assisted,2,5,60,,5회 x 2세트. 관절 회복 우선.
2026-05-02,Day A+ — Push+Core,3,plank_standard,2,20초,30,,20초 x 2세트. 회복과 재충전.
2026-05-02,Day A+ — Push+Core,4,kb_swing_12,2,12,60,,12회 x 2세트. 힙힌지 기본기 리셋.
2026-05-02,Day A+ — Push+Core,5,pushup_wide_incline,2,6,60,,6회 x 2세트. 가슴 이완과 회복.
2026-05-02,Day A+ — Push+Core,6,dead_bug,2,8,45,,8회 x 2세트. 코어 안정화 리셋.
2026-05-03,Day B+ — Pull+Legs,1,dead_hang,2,15초,60,,블록1 디로드 주간 — 2세트로 줄여 회복. 정확한 폼에 집중. | 15초 x 2세트. 악력 회복. 가볍게.
2026-05-03,Day B+ — Pull+Legs,2,squat_band,2,20,60,,20회 x 2세트. 관절 부담 최소화.
2026-05-03,Day B+ — Pull+Legs,3,glute_bridge_band,2,12,45,,"12회 x 2세트. 가볍게, 둔근 활성화."
2026-05-03,Day B+ — Pull+Legs,4,kb_swing_12,2,12,60,,12회 x 2세트. 힙힌지 기본기 리셋.
2026-05-03,Day B+ — Pull+Legs,5,scap_pull,2,6,60,,6회 x 2세트. 가볍게 견갑골 활성화.
2026-05-03,Day B+ — Pull+Legs,6,calf_raise,2,20,30,,20회 x 2세트. 가볍게 종아리 펌핑.
2026-05-04,REST,,,,,,,블록2 시작 전 휴식. 새 베이스라인에 도전할 준비!
2026-05-05,Day A — Push+Core,1,pushup_incline,3,12,60,,"블록2 시작! 새 베이스라인. 블록1 피크에서 출발합니다. | 12회. 팔꿈치 45도, 가슴이 바에 닿을 듯이."
2026-05-05,Day A — Push+Core,2,dip_assisted,3,9,60,,9회. 어깨 으쓱 금지. 90도까지만.
2026-05-05,Day A — Push+Core,3,plank_standard,3,30초,30,,30초. 배꼽을 척추 쪽으로 당기며 버티기.
2026-05-05,Day A — Push+Core,4,kb_swing_12,3,16,60,,16회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-05-06,Day B — Pull+Legs,1,dead_hang,3,25초,60,,블록2 시작! 새 베이스라인. 블록1 피크에서 출발합니다. | 25초. 견갑골 하방 유지. 어깨 으쓱 절대 금지.
2026-05-06,Day B — Pull+Legs,2,squat_band,3,24,60,,24회. 밴드에 저항하며 무릎 바깥으로 밀기.
2026-05-06,Day B — Pull+Legs,3,glute_bridge_band,3,16,45,,16회. 정점에서 2초 유지. 둔근 squeeze.
2026-05-06,Day B — Pull+Legs,4,kb_swing_12,3,16,60,,16회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-05-07,REST,,,,,,,1주차 중간 휴식. 근육통 있으면 폼롤링/스트레칭.
2026-05-08,REST,,,,,,,주말 확장 세션 전날 휴식. 에너지 충전. 단백질 섭취 신경쓰기.
2026-05-09,Day A+ — Push+Core,1,pushup_incline,4,12,60,,"블록2 시작! 새 베이스라인. 블록1 피크에서 출발합니다. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 12회. 팔꿈치 45도, 가슴이 바에 닿을 듯이."
2026-05-09,Day A+ — Push+Core,2,dip_assisted,4,9,60,,9회. 어깨 으쓱 금지. 90도까지만.
2026-05-09,Day A+ — Push+Core,3,plank_standard,4,30초,30,,30초. 배꼽을 척추 쪽으로 당기며 버티기.
2026-05-09,Day A+ — Push+Core,4,kb_swing_12,4,16,60,,16회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-05-09,Day A+ — Push+Core,5,pushup_wide_incline,3,10,60,,10회. 와이드 그립으로 가슴 스트레칭 극대화.
2026-05-09,Day A+ — Push+Core,6,dead_bug,3,12,45,,12회(한쪽). 허리 바닥 밀착 유지가 핵심.
2026-05-10,Day B+ — Pull+Legs,1,dead_hang,4,25초,60,,블록2 시작! 새 베이스라인. 블록1 피크에서 출발합니다. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 25초. 견갑골 하방 유지. 어깨 으쓱 절대 금지.
2026-05-10,Day B+ — Pull+Legs,2,squat_band,4,24,60,,24회. 밴드에 저항하며 무릎 바깥으로 밀기.
2026-05-10,Day B+ — Pull+Legs,3,glute_bridge_band,4,16,45,,16회. 정점에서 2초 유지. 둔근 squeeze.
2026-05-10,Day B+ — Pull+Legs,4,kb_swing_12,4,16,60,,16회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-05-10,Day B+ — Pull+Legs,5,scap_pull,3,10,60,,10회. 팔 구부리지 말고 견갑골만 아래로 당기기.
2026-05-10,Day B+ — Pull+Legs,6,calf_raise,3,24,30,,"24회. 정점 2초 유지, 3초에 걸쳐 내려오기."
2026-05-11,REST,,,,,,,2주차 시작. 컨디션 조절하세요.
2026-05-12,Day A — Push+Core,1,pushup_incline,3,14,60,,"2주차 볼륨 증가. 지난주 대비 +2회/+5초 — 적응 중. | 14회. 팔꿈치 45도, 가슴이 바에 닿을 듯이."
2026-05-12,Day A — Push+Core,2,dip_assisted,3,11,60,,11회. 어깨 으쓱 금지. 90도까지만.
2026-05-12,Day A — Push+Core,3,plank_standard,3,35초,30,,35초. 배꼽을 척추 쪽으로 당기며 버티기.
2026-05-12,Day A — Push+Core,4,kb_swing_12,3,18,60,,18회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-05-13,Day B — Pull+Legs,1,dead_hang,3,30초,60,,2주차 볼륨 증가. 지난주 대비 +2회/+5초 — 적응 중. | 30초. 견갑골 하방 유지. 어깨 으쓱 절대 금지.
2026-05-13,Day B — Pull+Legs,2,squat_band,3,26,60,,26회. 밴드에 저항하며 무릎 바깥으로 밀기.
2026-05-13,Day B — Pull+Legs,3,glute_bridge_band,3,18,45,,18회. 정점에서 2초 유지. 둔근 squeeze.
2026-05-13,Day B — Pull+Legs,4,kb_swing_12,3,18,60,,18회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-05-14,REST,,,,,,,2주차 중간 휴식. 근육통 있으면 폼롤링/스트레칭.
2026-05-15,REST,,,,,,,주말 확장 세션 전날 휴식. 에너지 충전. 단백질 섭취 신경쓰기.
2026-05-16,Day A+ — Push+Core,1,pushup_incline,4,14,60,,"2주차 볼륨 증가. 지난주 대비 +2회/+5초 — 적응 중. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 14회. 팔꿈치 45도, 가슴이 바에 닿을 듯이."
2026-05-16,Day A+ — Push+Core,2,dip_assisted,4,11,60,,11회. 어깨 으쓱 금지. 90도까지만.
2026-05-16,Day A+ — Push+Core,3,plank_standard,4,35초,30,,35초. 배꼽을 척추 쪽으로 당기며 버티기.
2026-05-16,Day A+ — Push+Core,4,kb_swing_12,4,18,60,,18회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-05-16,Day A+ — Push+Core,5,pushup_wide_incline,3,12,60,,12회. 와이드 그립으로 가슴 스트레칭 극대화.
2026-05-16,Day A+ — Push+Core,6,dead_bug,3,14,45,,14회(한쪽). 허리 바닥 밀착 유지가 핵심.
2026-05-17,Day B+ — Pull+Legs,1,dead_hang,4,30초,60,,2주차 볼륨 증가. 지난주 대비 +2회/+5초 — 적응 중. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 30초. 견갑골 하방 유지. 어깨 으쓱 절대 금지.
2026-05-17,Day B+ — Pull+Legs,2,squat_band,4,26,60,,26회. 밴드에 저항하며 무릎 바깥으로 밀기.
2026-05-17,Day B+ — Pull+Legs,3,glute_bridge_band,4,18,45,,18회. 정점에서 2초 유지. 둔근 squeeze.
2026-05-17,Day B+ — Pull+Legs,4,kb_swing_12,4,18,60,,18회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-05-17,Day B+ — Pull+Legs,5,scap_pull,3,12,60,,12회. 팔 구부리지 말고 견갑골만 아래로 당기기.
2026-05-17,Day B+ — Pull+Legs,6,calf_raise,3,26,30,,"26회. 정점 2초 유지, 3초에 걸쳐 내려오기."
2026-05-18,REST,,,,,,,3주차(피크 주간) 시작 전 휴식. 컨디션 만전으로!
2026-05-19,Day A — Push+Core,1,pushup_incline,3,16,60,,3주차 피크 주간! 최고 볼륨. 집중력 최대. | 16회! 진급 기준 향해 전진. 마지막 2회 폼 유지.
2026-05-19,Day A — Push+Core,2,dip_assisted,3,13,60,,13회. 삼두근 피로 관리. 세트 간 충분히 쉬기.
2026-05-19,Day A — Push+Core,3,plank_standard,3,40초,30,,40초. 코어 안정성 테스트. 엉덩이 흔들림 없이.
2026-05-19,Day A — Push+Core,4,kb_swing_12,3,20,60,,20회. 폼 일관성 확인. 정점에서 둔근 squeeze.
2026-05-20,Day B — Pull+Legs,1,dead_hang,3,35초,60,,3주차 피크 주간! 최고 볼륨. 집중력 최대. | 35초! 전완근 불타는 느낌. 견갑골 하방 유지.
2026-05-20,Day B — Pull+Legs,2,squat_band,3,28,60,,28회. 무릎-발끝 정렬 확인. 진급 기준 도전!
2026-05-20,Day B — Pull+Legs,3,glute_bridge_band,3,20,45,,20회. 골반 들어올림 최대. 둔근 수축 극대화.
2026-05-20,Day B — Pull+Legs,4,kb_swing_12,3,20,60,,20회. 폼 일관성 확인. 정점에서 둔근 squeeze.
2026-05-21,REST,,,,,,,피크 주간 중간 휴식. 피로 누적 체크. 통증 vs 근육통 구분.
2026-05-22,REST,,,,,,,피크 주간 내일 주말 확장 세션! 숙면 필수.
2026-05-23,Day A+ — Push+Core,1,pushup_incline,4,16,60,,3주차 피크 주간! 최고 볼륨. 집중력 최대. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 16회! 진급 기준 향해 전진. 마지막 2회 폼 유지.
2026-05-23,Day A+ — Push+Core,2,dip_assisted,4,13,60,,13회. 삼두근 피로 관리. 세트 간 충분히 쉬기.
2026-05-23,Day A+ — Push+Core,3,plank_standard,4,40초,30,,40초. 코어 안정성 테스트. 엉덩이 흔들림 없이.
2026-05-23,Day A+ — Push+Core,4,kb_swing_12,4,20,60,,20회. 폼 일관성 확인. 정점에서 둔근 squeeze.
2026-05-23,Day A+ — Push+Core,5,pushup_wide_incline,3,14,60,,14회. 가슴 외측 자극. 풀ROM 끝까지.
2026-05-23,Day A+ — Push+Core,6,dead_bug,3,16,45,,"16회. 속도 일정, 허리 임프린트 절대 유지."
2026-05-24,Day B+ — Pull+Legs,1,dead_hang,4,35초,60,,3주차 피크 주간! 최고 볼륨. 집중력 최대. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 35초! 전완근 불타는 느낌. 견갑골 하방 유지.
2026-05-24,Day B+ — Pull+Legs,2,squat_band,4,28,60,,28회. 무릎-발끝 정렬 확인. 진급 기준 도전!
2026-05-24,Day B+ — Pull+Legs,3,glute_bridge_band,4,20,45,,20회. 골반 들어올림 최대. 둔근 수축 극대화.
2026-05-24,Day B+ — Pull+Legs,4,kb_swing_12,4,20,60,,20회. 폼 일관성 확인. 정점에서 둔근 squeeze.
2026-05-24,Day B+ — Pull+Legs,5,scap_pull,3,14,60,,14회. 등 근육 수축 2초 유지. 풀업 준비.
2026-05-24,Day B+ — Pull+Legs,6,calf_raise,3,28,30,,28회. 고반복으로 종아리 자극. 끝까지.
2026-05-25,REST,,,,,,,블록2 디로드 주간 휴식. 몸이 회복되는 것을 느끼세요. 스트레칭 + 산책 권장.
2026-05-26,Day A — Push+Core,1,pushup_incline,2,12,60,,블록2 디로드 주간 — 2세트로 줄여 회복. 정확한 폼에 집중. | 12회 x 2세트. 쉽지만 폼에 극도로 집중.
2026-05-26,Day A — Push+Core,2,dip_assisted,2,9,60,,9회 x 2세트. 관절 회복 우선.
2026-05-26,Day A — Push+Core,3,plank_standard,2,30초,30,,30초 x 2세트. 회복과 재충전.
2026-05-26,Day A — Push+Core,4,kb_swing_12,2,16,60,,16회 x 2세트. 힙힌지 기본기 리셋.
2026-05-27,Day B — Pull+Legs,1,dead_hang,2,25초,60,,블록2 디로드 주간 — 2세트로 줄여 회복. 정확한 폼에 집중. | 25초 x 2세트. 악력 회복. 가볍게.
2026-05-27,Day B — Pull+Legs,2,squat_band,2,24,60,,24회 x 2세트. 관절 부담 최소화.
2026-05-27,Day B — Pull+Legs,3,glute_bridge_band,2,16,45,,"16회 x 2세트. 가볍게, 둔근 활성화."
2026-05-27,Day B — Pull+Legs,4,kb_swing_12,2,16,60,,16회 x 2세트. 힙힌지 기본기 리셋.
2026-05-28,REST,,,,,,,블록2 디로드 주간 휴식. 몸이 회복되는 것을 느끼세요. 스트레칭 + 산책 권장.
2026-05-29,REST,,,,,,,블록2 디로드 주간 휴식. 몸이 회복되는 것을 느끼세요. 스트레칭 + 산책 권장.
2026-05-30,Day A+ — Push+Core,1,pushup_incline,2,12,60,,블록2 디로드 주간 — 2세트로 줄여 회복. 정확한 폼에 집중. | 12회 x 2세트. 쉽지만 폼에 극도로 집중.
2026-05-30,Day A+ — Push+Core,2,dip_assisted,2,9,60,,9회 x 2세트. 관절 회복 우선.
2026-05-30,Day A+ — Push+Core,3,plank_standard,2,30초,30,,30초 x 2세트. 회복과 재충전.
2026-05-30,Day A+ — Push+Core,4,kb_swing_12,2,16,60,,16회 x 2세트. 힙힌지 기본기 리셋.
2026-05-30,Day A+ — Push+Core,5,pushup_wide_incline,2,10,60,,10회 x 2세트. 가슴 이완과 회복.
2026-05-30,Day A+ — Push+Core,6,dead_bug,2,12,45,,12회 x 2세트. 코어 안정화 리셋.
2026-05-31,Day B+ — Pull+Legs,1,dead_hang,2,25초,60,,블록2 디로드 주간 — 2세트로 줄여 회복. 정확한 폼에 집중. | 25초 x 2세트. 악력 회복. 가볍게.
2026-05-31,Day B+ — Pull+Legs,2,squat_band,2,24,60,,24회 x 2세트. 관절 부담 최소화.
2026-05-31,Day B+ — Pull+Legs,3,glute_bridge_band,2,16,45,,"16회 x 2세트. 가볍게, 둔근 활성화."
2026-05-31,Day B+ — Pull+Legs,4,kb_swing_12,2,16,60,,16회 x 2세트. 힙힌지 기본기 리셋.
2026-05-31,Day B+ — Pull+Legs,5,scap_pull,2,10,60,,10회 x 2세트. 가볍게 견갑골 활성화.
2026-05-31,Day B+ — Pull+Legs,6,calf_raise,2,24,30,,24회 x 2세트. 가볍게 종아리 펌핑.
