id,name,category,equipment,level,muscles_primary,muscles_secondary,form_guide,common_mistakes,safety_notes,progression_from,progression_to,video_url
calf_raise,카프 레이즈,legs,맨몸,1,"비복근, 가자미근",,"발 어깨너비, 발끝 정면, 벽이나 봉 잡고 균형
발뒤꿈치를 최대한 올려 종아리 수축 2초 유지
천천히 3초에 걸쳐 내려오기(에센트릭 강조)
20-25회 고반복으로 수행 — 종아리는 고반복 반응","반동 사용(바운싱) → 정점에서 멈추기
가동범위 부족 → 발뒤꿈치 끝까지 올리고 끝까지 내리기
발가락으로만 밀기 → 엄지 볼(모지구)로 밀기","아킬레스건 통증 시 중단
균형 불안정 시 반드시 지지물 잡기",,,
kb_deadlift_12,케틀벨 데드리프트 12kg,legs,케틀벨12,1,"둔근, 햄스트링","척추기립근, 코어","케틀벨을 양발 사이 바닥에 놓고 힙 힌지로 집어 올리기
등 중립(라운드백 절대 금지), 가슴 들고, 시선 정면
골반을 뒤로 빼며 내려가고, 둔근 squeeze로 일어서기
케틀벨은 항상 몸에 가까이 — 팔은 늘어진 상태 유지","라운드백(등 둥글어짐) → 가슴 들고 어깨 뒤로 당기기
스쿼트처럼 무릎 구부림 → 힙힌지: 엉덩이 뒤로 빼기가 핵심
케틀벨이 몸에서 멀어짐 → 가까이 유지하여 요추 부담 최소화","힙힌지 패턴 학습용 — 첫 2주간 스윙 전 필수 수행
허리 통증 시 즉시 중단, 맨몸 힙힌지 드릴로 전환",,kb_swing_12,
kb_swing_12,케틀벨 스윙 12kg,swing,케틀벨12,1,"둔근, 햄스트링","코어, 전완근, 척추기립근","힙힌지가 핵심 — 무릎이 아닌 고관절에서 접기
폭발적 고관절 신전으로 스윙, 팔이 아닌 골반 힘
스윙 정점(가슴 높이)에서 둔근 꽉 조이기(squeeze)
그립 단단히, 손목 중립, 시선은 정면","팔로 들어올림 → 팔은 진자, 힘은 고관절에서
라운드백(등 둥글게) → 가슴 들고 코어 긴장
스쿼트처럼 앉기 → 엉덩이를 뒤로 빼기(힙힌지)
오버스윙(머리 위) → 가슴 높이가 종점","허리 통증 시 즉시 중단, 힙힌지 패턴 재학습
주변 2m 공간 확보, 손 미끄러짐 방지(분필/타올)",kb_deadlift_12,kb_swing_16,
pushup_standard,스탠다드 푸쉬업,push,푸쉬업바,2,"대흉근, 전면삼각근","삼두근, 전거근","푸쉬업바를 바닥 위치(플랫)에 놓고 수행
가슴이 바에 거의 닿을 때까지 풀ROM
2초 내려가고 1초 올라오기 — 에센트릭 강조
팔꿈치 45도, 코어 긴장, 일직선 유지","팔꿈치 잠금(lockout) → 약간 구부린 상태 유지
속도 너무 빠름 → 템포 제어가 근비대 핵심
엉덩이 들림/처짐 → 코어 긴장 유지","어깨 부상 이력 있으면 가동범위 제한
손목 불편 시 푸쉬업바 각도 조절",pushup_incline,pushup_diamond,
pushup_diamond,다이아몬드 푸쉬업,push,맨몸,2,"삼두근, 내측 대흉근",전면삼각근,"양손 엄지+검지로 다이아몬드 모양 만들기
가슴 중앙 아래에 손 위치, 팔꿈치 몸에 밀착
가슴이 손등에 닿을 때까지 내려가기
삼두근 수축 느끼며 올라오기","팔꿈치 벌어짐 → 몸에 붙여 삼두 부하 유지
가동범위 부족 → 끝까지 내려가는 게 핵심
손목 통증 → 손가락 방향 조절","손목 부담 큼 — 통증 시 인클라인으로 난이도 하향
팔꿈치 과신전 주의",pushup_standard,pushup_decline,
dip_assisted,딥스 (보조),push,치닝디핑,2,"삼두근, 하부 대흉근",전면삼각근,"발을 받침대(의자/스텝)에 올려 체중 30-50% 보조
팔꿈치 90도까지만 내려감 — 과도한 깊이 금지
상체 약간 앞으로 기울여 대흉근 하부 활성화
올라올 때 팔꿈치 완전 잠금(lockout) 금지","팔꿈치 벌어짐 → 몸통에 가까이 유지
어깨 으쓱(shrug) → 견갑골 하방 고정
너무 깊이 내려가 어깨 압박 → 90도 이하로 제한","어깨 통증 시 가동범위 제한 또는 중단
80kg 체중 — L1 졸업(인클라인 3x15) 후에만 시도",,dip_standard,
pike_pushup,파이크 푸쉬업,push,요가매트,2,"전면삼각근, 상부 대흉근",삼두근,"엉덩이를 높이 들어 역V자 자세(pike position)
머리가 바닥으로 향하며 팔로 밀기(숄더 프레스 대체)
어깨 수직 부하 — 물구나무 전단계
5-10회 x 3세트, 어깨 근비대 핵심","엉덩이 충분히 안 올림 → 최대한 높이 올려야 어깨 자극
팔꿈치 벌어짐 → 안쪽으로 유지
가동범위 부족 → 머리가 바닥에 살짝 닿을 때까지","어깨 불안정 시 중단 — 인클라인 푸쉬업으로 복귀
경추 부담 — 머리 위치 주의, 목 중립",pushup_standard,pike_pushup_deficit,
pullup_negative,네거티브 턱걸이,pull,치닝디핑,2,"광배근, 이두근","전완근, 하부승모근","점프 또는 의자로 올라간 후 5초에 걸쳐 천천히 내려옴
완전히 팔 펴질 때까지 제어하며 하강(에센트릭)
어깨너비 오버핸드 그립, 코어 긴장
3-5회 x 3세트, 에센트릭 근비대 효과 극대","너무 빨리 내려옴(2초 미만) → 최소 5초 카운트
등 안 쓰이고 팔만 사용 → 견갑골 하방 유지
그립 풀림 → 악력 먼저 강화(데드행)","어깨/팔꿈치 통증 시 중단
높은 곳에서 뛰어내리지 말 것 — 천천히 착지",scap_pull,band_assisted_pullup,
band_assisted_pullup,밴드 보조 턱걸이,pull,"치닝디핑, 밴드",2,"광배근, 이두근","하부승모근, 전완근","저항밴드를 바에 걸고 발/무릎에 끼워 체중 보조
어깨너비 오버핸드 그립, 데드행에서 시작
견갑골 하방+후인 후 턱이 바 위로 올라갈 때까지 당기기
2초 올라가기 + 1초 정점 + 3초 내려오기","밴드에 너무 의존(바운스) → 제어된 속도로 당기기
반동 사용 → 데드행에서 정적으로 시작
턱만 내밀기 → 가슴을 바에 당기는 이미지","밴드 상태 확인 — 마모/균열 시 교체
80kg 사용자에게 필수 브릿지: 네거티브 → 밴드보조 → 풀 풀업",pullup_negative,pullup_standard,
inverted_row_elevated,발 올린 인버티드 로우,pull,치닝디핑,2,"광배근, 능형근, 후면삼각근","이두근, 하부승모근","기본 인버티드 로우 자세에서 발을 의자/박스 위에 올림
체중 부하 증가 — 상체가 더 수평에 가까워짐
견갑골 후인 집중, 가슴을 바에 당기기
2초 당기기 + 정점 2초 유지 + 2초 내려오기","엉덩이 처짐 → 발 올린 상태에서 코어 더 강하게 긴장
등 안 쓰이고 팔로만 당김 → 견갑골 먼저 조이기
발 올린 높이 너무 높아 폼 무너짐 → 낮은 의자부터 시작","기본 인버티드 로우 3x12 안정 후에 진급
어깨 통증 시 기본 인버티드 로우로 복귀",inverted_row,,
plank_side,사이드 플랭크,core,요가매트,2,"복사근(내/외), 복횡근","중둔근, 요방형근","팔꿈치를 어깨 아래 위치, 옆으로 누운 자세
골반을 들어 머리-어깨-골반-발 일직선
위쪽 손은 천장 또는 허리 위에 — 균형 보조
양쪽 번갈아 수행, 좌우 밸런스 확인","골반 처짐(sag) → 복사근 긴장 유지
몸 앞뒤로 기울어짐 → 일직선 유지, 거울 확인
어깨 으쓱 → 견갑골 안정화","어깨 통증 시 중단
좌우 차이가 10초 이상이면 약한 쪽 추가 세트",plank_standard,hanging_knee_raise,
dead_bug_alt,데드버그 교차,core,요가매트,2,"복횡근, 복직근","골반저근, 장요근","기본 데드버그에서 양쪽 교대로 빠르게 수행
허리 임프린트 절대 잃지 않기
반대편 팔+다리 동시에 뻗기, 좌우 교대
10-15회(한쪽 기준), 리듬감 있게","속도를 올리면서 허리 뜸 → 느리게 하더라도 임프린트 유지
호흡 멈춤 → 지속적 호흡 유지
다리 뻗는 높이 불규칙 → 발뒤꿈치 바닥 5cm 위 고정","허리 통증 시 기본 데드버그로 복귀
경추 부담 시 머리 아래 얇은 수건",dead_bug,hanging_knee_raise,
lying_leg_raise,라잉 레그레이즈,core,요가매트,2,"복직근(하부), 장요근","복횡근, 고관절 굴곡근","등을 바닥에 대고 누워 다리를 곧게 펴서 올리기
허리 바닥 밀착 유지, 다리를 수직까지 올린 후 천천히 내리기
내릴 때 3초에 걸쳐 제어 — 발이 바닥 5cm 위에서 정지
10-15회, 하복부 수축 느끼며 수행","허리가 뜸 → 가동범위 줄이기(45도까지만 내리기)
반동으로 다리 올림 → 느리고 제어된 동작
목에 힘 → 팔을 바닥에 놓고 목은 편안하게","라잉 니레이즈 3x15 안정 후에 진급
요추 통증 시 즉시 중단",lying_knee_raise,hanging_knee_raise,
bird_dog,버드독,core,요가매트,2,"척추기립근, 복횡근","둔근, 후면삼각근","네발기기(quadruped) 자세: 양손 어깨 아래, 양무릎 골반 아래
대각선으로 한 팔+반대 다리를 수평까지 뻗기
골반 틀어짐 없이 수평 유지 — 등 위에 물컵이 안 쏟아지도록
정점에서 2초 유지 후 천천히 원위치, 좌우 교대","골반 틀어짐(rotation) → 코어 안티로테이션 의식
허리 과신전 → 배꼽을 척추 쪽으로 당기기
속도 너무 빠름 → 한 반복 4초, 제어에 집중","허리 재활/예방 운동으로도 사용됨 — 안전
무릎 통증 시 무릎 아래 패드 사용",,,
squat_bodyweight,맨몸 스쿼트,legs,맨몸,2,"대퇴사두근, 둔근","햄스트링, 코어","발끝 15-30도 바깥, 발 어깨너비
대퇴부 평행(또는 그 이하)까지 — 풀 ROM
무릎 발끝 방향 유지, 안쪽 모임 금지
가슴 들고, 엉덩이 뒤로 빼며 앉기","무릎 안쪽 모임(valgus) → 무릎 발끝 방향 유지
라운드백 → 가슴 들고 시선 정면
반동(바운스) 사용 → 정점에서 잠시 멈추기","급격한 하강 금지 — 제어된 속도
발목 가동성 부족 시 발뒤꿈치에 얇은 판 깔기",squat_band,squat_bulgarian,
glute_bridge_single,싱글레그 힙브릿지,legs,요가매트,2,둔근(편측),"햄스트링, 코어","한쪽 다리를 천장으로 뻗고 반대쪽 발로 브릿지
골반 틀어짐 없이 수평 유지가 핵심
정점에서 2초 유지, 둔근 수축 극대화
좌우 각 10-15회","골반 한쪽 처짐(tilt) → 수평 유지 의식
속도 너무 빠름 → 제어된 템포
뻗은 다리 흔들림 → 코어 안정화","허리 통증 시 양다리 브릿지로 복귀
좌우 차이가 5회 이상이면 약한 쪽 추가 세트",glute_bridge_band,,
kb_swing_16,케틀벨 스윙 16kg,swing,케틀벨16,2,"둔근, 햄스트링","코어, 전완근, 척추기립근","12kg와 동일한 힙힌지 메커닉스 적용
코어 안정성이 더 요구됨 — 복압 유지
그립 단단히, 4kg 증가분에 집중하여 제어
EMOM 5분 목표: 매분 시작 시 12-15회 스윙 후 나머지 휴식","12kg 폼 불안정한데 무리하게 진급 → 3x20 확인 후 진급
그립 풀림 → 초크 또는 타올 사용
허리 과부하 → 코어 긴장과 힙힌지 패턴 재확인","12kg에서 3x30 안정적 수행 후에만 진급
컨디션 안 좋은 날은 12kg 사용 OK",kb_swing_12,kb_swing_16_onhand,
pushup_decline,디클라인 푸쉬업,push,푸쉬업바,3,"상부 대흉근, 전면삼각근","삼두근, 전거근","발을 의자/박스에 올려 상체 각도 하향
상부 가슴+전면 어깨 자극 증가
코어 긴장 더 중요 — 허리 처짐 방지
팔꿈치 45도, 가슴이 바닥에 닿을 때까지","허리 과신전 → 복근 강하게 긴장
어깨 과부하 → 각도 너무 높지 않게(30도 이내)
목 꺾임 → 시선 바닥, 경추 중립","어깨 임핀지먼트 증상 시 플랫으로 복귀
고혈압 있으면 디클라인 자세 주의",pushup_standard,pushup_archer_prep,
dip_standard,딥스,push,치닝디핑,3,"삼두근, 하부 대흉근",전면삼각근,"자기 체중으로 수행 — 보조 없음
90도까지 내려감, 상체 약간 앞으로 기울임
올라올 때 삼두근 수축 느끼며 제어
팔꿈치 안쪽으로 유지, 벌어짐 주의","과도한 깊이(90도 이상) → 어깨 부상 위험
팔꿈치 벌어짐 → 몸에 붙여 유지
흔들림/반동 → 정적 제어로 수행","어깨 관절 부담 큼 — 통증 시 보조 딥스로 복귀
체중 80kg에서 바로 진입하면 부상 위험, L2 보조딥스 졸업 확인",dip_assisted,dip_weighted_light,
pike_pushup_deficit,파이크 푸쉬업 디피싯,push,푸쉬업바,3,"전면삼각근, 상부 대흉근","삼두근, 상부승모근","푸쉬업바 위에서 파이크 자세 — 가동범위 확대
머리가 바 사이 아래로 내려가도록 더 깊게 수행
어깨 수직 부하 극대화, 숄더프레스 대체
5-8회 x 3세트, 머리가 바 높이 아래로","디피싯이 너무 깊어 어깨 과부하 → 점진적 증가
팔꿈치 벌어짐 → 안쪽으로 유지
엉덩이 높이 부족 → 최대한 역V자","기본 파이크 3x10 안정 후에만 디피싯 시도
어깨 통증 시 기본 파이크로 복귀",pike_pushup,pike_pushup_elevated,
pullup_standard,턱걸이,pull,치닝디핑,3,"광배근, 대원근","이두근, 하부승모근","어깨너비 오버핸드 그립, 데드행에서 시작
견갑골 하방+후인(retraction) 후 당기기
턱이 바 위로 올라갈 때까지 풀ROM
2초 올라가기 + 정점 1초 + 3초 내려오기","반동(kipping) → 정적 당기기, 데드행에서 시작
턱을 과도하게 내밀기 → 가슴을 바에 당기는 이미지
하강 시 제어 없음(free fall) → 에센트릭 3초","어깨/팔꿈치 통증 시 밴드보조로 복귀
1개도 못 하면 밴드보조 턱걸이 계속",band_assisted_pullup,pullup_wide,
chinup,친업,pull,치닝디핑,3,"이두근, 광배근","전완근, 하부승모근","언더핸드(supinated) 그립, 어깨너비보다 약간 좁게
이두근 자극 증가, 턱걸이보다 쉬운 편
당기기 시작 시 견갑골 하방 유지
턱이 바 위로 올라갈 때까지","팔만 사용 → 등(광배근) 수축 함께 느끼기
반동 사용 → 데드행에서 시작
하강 너무 빠름 → 에센트릭 3초","팔꿈치 통증(골퍼 엘보) 주의
과도한 볼륨 시 이두건 부상 위험",pullup_standard,,
hanging_knee_raise,행잉 니레이즈,core,치닝디핑,3,"복직근(하부), 장요근","복사근, 전완근(악력)","바에 매달려 무릎을 가슴 쪽으로 올리기
골반 후방경사(posterior tilt) — 등을 살짝 둥글게
올릴 때 호기, 내릴 때 흡기, 반동 없이
정점에서 1초 유지 후 천천히 내리기","반동(kipping) 사용 → 데드행 자세에서 시작
다리만 올리고 골반 안 움직임 → 골반 말기(curl) 필수
악력 부족으로 중단 → 데드행으로 악력 보강","어깨 통증 시 매트 위 레그레이즈로 대체
악력 부족 시 스트랩 사용 가능",plank_side,l_sit_hold,
plank_weighted,웨이트 플랭크,core,"요가매트, 케틀벨12",3,"복직근, 복횡근","척추기립근, 둔근","기본 플랭크 자세에서 등 위에 케틀벨(12kg) 올리기
파트너 또는 직접 올리기(난이도 상승)
30-45초 유지, 코어 부하 증가
일직선 유지가 더 어려워짐 — 집중","케틀벨 위치 불안정 → 등 중앙(견갑골 사이)에 안정적 배치
허리 처짐 증가 → 복근 더 강하게 수축
호흡 멈춤 → 무거워도 정상 호흡 유지","혼자 올리기 어려우면 파트너 요청 또는 무게 줄이기
허리 통증 시 기본 플랭크로 복귀",plank_side,l_sit_hold,
squat_bulgarian,불가리안 스플릿 스쿼트,legs,치닝디핑,3,"대퇴사두근, 둔근(편측)","햄스트링, 코어(안정화)","뒷발을 딥스 바에 올리고 풀 ROM 수행
앞다리 무릎 90도 이하까지 깊이 내려가기
앞다리 발뒤꿈치로 폭발적 밀어올리기
좌우 각 8-12회, 3-4세트","앞무릎 과도 전방 이동 → 보폭 늘리기
골반 틀어짐 → 정면 유지
상체 앞쏠림 → 직립 자세 유지","무릎 통증 시 ROM 줄이기 또는 맨몸 스쿼트로 복귀
균형 어려우면 벽 잡고 수행",squat_bodyweight,pistol_squat_assisted,
step_up_weighted,웨이트 스텝업,legs,케틀벨16,3,"대퇴사두근, 둔근","햄스트링, 코어","케틀벨 16kg을 고블릿(가슴 앞)으로 들고 스텝업
무릎 높이 박스/의자 위로 한 발씩 올라가기
올라간 다리로만 밀기 — 뒷다리 보조 최소화
좌우 각 8-12회","뒷다리로 밀어올림 → 앞다리 100% 하중 의식
상체 앞쏠림 → 가슴 들고 직립
무릎 안쪽 모임 → 무릎 발끝 방향","안정적 박스/의자 사용 — 미끄러짐 주의
균형 불안 시 케틀벨 무게 줄이기",squat_bulgarian,,
kb_swing_16_onhand,원핸드 케틀벨 스윙,swing,케틀벨16,3,"둔근, 햄스트링(편측 강화)","코어(안티로테이션), 전완근","한 손으로 16kg 스윙 — 코어 안티로테이션 요구
골반이 돌아가지 않게 양쪽 균형 유지
정점에서 둔근 squeeze, 반대 손은 몸 옆
EMOM 8분 목표: 좌우 교대, 매분 10-12회","몸이 한쪽으로 틀어짐 → 코어 안티로테이션 의식
그립 불안정 → 한 손 악력 충분한지 확인
과도한 회전 → 골반 정면 유지","양손 스윙 3x20 안정 후 원핸드 시작
주변 공간 더 넓게 확보(편측 불안정)",kb_swing_16,kb_swing_16_continuous,
pushup_archer_prep,아처 푸쉬업 준비,push,푸쉬업바,4,대흉근(편측 강화),"삼두근, 전면삼각근","넓은 간격, 한쪽으로 체중 이동하며 내려가기
보조하는 팔은 완전히 펴서 옆으로(활잡이 자세)
메인 팔 쪽 가슴+삼두에 부하 집중
좌우 교대 5-8회씩","보조 팔 구부림 → 완전히 펴야 편측 부하
체중 이동 부족 → 한쪽에 70% 이상 하중
허리 틀어짐 → 코어 안정 유지","어깨 통증 시 와이드 푸쉬업으로 대체
손목 부담 시 푸쉬업바 필수",pushup_decline,pushup_archer,
pushup_archer,아처 푸쉬업,push,푸쉬업바,4,"대흉근(편측), 삼두근","전면삼각근, 전거근","한쪽 팔에 체중 80-90% 집중, 보조 팔 완전 신전
메인 팔 쪽 가슴이 바에 닿을 때까지 풀ROM
코어 안티로테이션 필수 — 몸 틀어짐 방지
좌우 각 5-8회, 원암 푸쉬업 전단계","보조 팔 구부림(치팅) → 완전 신전 유지
몸 틀어짐 → 코어 강하게 잡기
가동범위 부족 → 끝까지 내려가기","어깨 불안정 시 아처 준비동작으로 복귀
손목 보호 위해 푸쉬업바 필수",pushup_archer_prep,pushup_one_arm_prep,
dip_weighted_light,가중 딥스,push,"치닝디핑, 케틀벨12",4,"삼두근, 하부 대흉근",전면삼각근,"케틀벨을 발 사이에 끼우거나 딥벨트 사용
기본 딥스와 동일한 폼 유지 — 90도까지
+12kg 추가 부하, 천천히 제어
5-8회 x 3-4세트, 근비대 자극","무게 때문에 폼 무너짐 → 폼 우선, 무게는 그 다음
과도한 깊이 → 무게 있을수록 90도 엄격 준수
케틀벨 미끄러짐 → 안전하게 고정","어깨 통증 시 즉시 무게 제거
아래에 매트 깔기 — 케틀벨 낙하 대비",dip_standard,dip_weighted_heavy,
pike_pushup_elevated,엘리베이트 파이크 푸쉬업,push,맨몸,4,전면삼각근,"삼두근, 상부승모근","발을 높이 올린 파이크 자세 — 거의 수직
핸드스탠드 푸쉬업 전단계
머리가 바닥에 닿을 때까지 내려가기
3-5회 x 3세트","가동범위 부족 → 패드 위에서 수행
어깨 불안정 → 기본 파이크로 복귀
호흡 멈춤 → 제어된 호흡","경추 부상 위험 — 머리 위치 주의
어깨 워밍업 철저히",pike_pushup_deficit,handstand_wall,
handstand_wall_hold,벽 물구나무 홀드,push,벽,4,"전면삼각근, 삼두근","상부승모근, 코어","벽을 향해 물구나무서기 — 어깨너비 손 간격
코어 긴장, 몸 일직선, 시선 바닥
30-60초 유지 목표
숄더프레스 대체, 상체 수직 부하","허리 과신전(바나나 자세) → 복근 조이기
어깨 으쓱 → 견갑골 상방회전 유지
손목 통증 → 워밍업 + 간격 조절","고혈압 있으면 의사 상담
낙하 대비 매트, 벽 가까이에서만",pike_pushup_elevated,handstand_pushup,
pullup_wide,와이드 풀업,pull,치닝디핑,4,"광배근(외측), 대원근","이두근, 후면삼각근","어깨너비 1.5배 오버핸드 그립
견갑골 하방+후인 후 턱이 바 위로
광배근 외측 자극 극대화 — V-taper 핵심
3-5회부터 시작, 에센트릭 3초","가동범위 부족(턱 안 올라감) → 가능한 만큼 + 네거티브
반동 → 정적 시작 엄수
어깨 과회전 → 그립 너무 넓지 않게(1.5배 이내)","어깨 충돌 증상 시 표준 너비로 복귀
회전근개 워밍업 필수",pullup_standard,muscleup_negative,
front_lever_tuck,터크 프론트 레버,pull,치닝디핑,4,"광배근, 복직근","코어, 후면삼각근","바에 매달려 무릎을 가슴에 당기고 몸을 수평으로
어깨-골반 일직선, 팔 완전 신전
5-15초 유지 목표
광배근+코어 동시 등척성 수축","골반 처짐 → 코어 더 강하게 수축
팔 구부림 → 완전 신전 유지
무릎이 풀림 → 터크 자세 단단히","어깨 충돌 증상 시 중단
악력 부족 시 스트랩 사용",pullup_standard,front_lever_adv,
